threshold,fpr,tpr
0.0000,1.000000,1.000000
0.0100,0.697978,1.000000
0.0200,0.639269,0.998031
0.0300,0.602740,0.996063
0.0400,0.570124,0.996063
0.0500,0.549902,0.994094
0.0600,0.527723,0.994094
0.0700,0.510763,0.988189
0.0800,0.489237,0.986220
0.0900,0.473581,0.984252
0.1000,0.458578,0.984252
0.1100,0.444879,0.982283
0.1200,0.431833,0.982283
0.1300,0.412916,0.982283
0.1400,0.404436,0.978346
0.1500,0.400522,0.978346
0.1600,0.390737,0.976378
0.1700,0.380952,0.974409
0.1800,0.371820,0.974409
0.1900,0.363340,0.974409
0.2000,0.352903,0.972441
0.2100,0.336595,0.972441
0.2200,0.330072,0.968504
0.2300,0.318982,0.966535
0.2400,0.307893,0.964567
0.2500,0.302022,0.960630
0.2600,0.294847,0.958661
0.2700,0.285062,0.956693
0.2800,0.278539,0.950787
0.2900,0.272016,0.948819
0.3000,0.262883,0.948819
0.3100,0.251142,0.940945
0.3200,0.244618,0.935039
0.3300,0.240052,0.929134
0.3400,0.234834,0.923228
0.3500,0.230920,0.921260
0.3600,0.223744,0.921260
0.3700,0.214612,0.917323
0.3800,0.213307,0.917323
0.3900,0.208089,0.915354
0.4000,0.205479,0.915354
0.4100,0.201566,0.913386
0.4200,0.196347,0.905512
0.4300,0.190476,0.889764
0.4400,0.185910,0.887795
0.4500,0.181344,0.887795
0.4600,0.178735,0.885827
0.4700,0.176125,0.881890
0.4800,0.172864,0.879921
0.4900,0.167645,0.875984
0.5000,0.165688,0.875984
0.5100,0.163731,0.872047
0.5200,0.159817,0.866142
0.5300,0.157860,0.864173
0.5400,0.153947,0.856299
0.5500,0.148728,0.840551
0.5600,0.143509,0.830709
0.5700,0.138943,0.820866
0.5800,0.134377,0.812992
0.5900,0.131115,0.801181
0.6000,0.125897,0.791339
0.6100,0.122635,0.777559
0.6200,0.119374,0.755906
0.6300,0.110894,0.746063
0.6400,0.106980,0.720472
0.6500,0.101109,0.710630
0.6600,0.097195,0.700787
0.6700,0.094586,0.694882
0.6800,0.090020,0.692913
0.6900,0.083496,0.677165
0.7000,0.075016,0.671260
0.7100,0.070450,0.665354
0.7200,0.065232,0.653543
0.7300,0.063275,0.637795
0.7400,0.059361,0.627953
0.7500,0.057404,0.620079
0.7600,0.052838,0.604331
0.7700,0.049576,0.590551
0.7800,0.045662,0.570866
0.7900,0.042401,0.549213
0.8000,0.039139,0.533465
0.8100,0.037834,0.515748
0.8200,0.034573,0.505906
0.8300,0.031311,0.492126
0.8400,0.028050,0.482283
0.8500,0.026093,0.462598
0.8600,0.022831,0.442913
0.8700,0.021526,0.435039
0.8800,0.019569,0.417323
0.8900,0.016308,0.399606
0.9000,0.011742,0.385827
0.9100,0.009785,0.366142
0.9200,0.007175,0.344488
0.9300,0.005219,0.328740
0.9400,0.004566,0.299213
0.9500,0.003914,0.271654
0.9600,0.002609,0.238189
0.9700,0.002609,0.202756
0.9800,0.000652,0.167323
0.9900,0.000652,0.124016
1.0000,0.000000,0.000000